"code","direction","full_name","display_name","description","is_variable","is_green","is_tracker","is_prepay","is_business","is_restricted","term","available_from","available_to","links","brand"
"COSY-22-12-08","IMPORT","Cosy Octopus","Cosy Octopus","Cosy Octopus is a heat pump tariff with eight hours of super cheap electricity every day to warm your home.","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","NA","2022-12-13T00:00:00Z","NA","list(href = ""https://api.octopus.energy/v1/products/COSY-22-12-08/"", method = ""GET"", rel = ""self"")","OCTOPUS_ENERGY"
"COSY-BB-23-02-07","IMPORT","Cosy Octopus","Cosy Octopus","Cosy Octopus is a heat pump tariff with eight hours of super cheap electricity every day to warm your home.","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","NA","2023-02-07T00:00:00Z","NA","list(href = ""https://api.octopus.energy/v1/products/COSY-BB-23-02-07/"", method = ""GET"", rel = ""self"")","BULB"
"CP-12M-25-04-01","IMPORT","Co-op Community Power 12M Fixed April 2025 v1","Co-op Community Power","This fixed tariff locks in your unit rates and standing charges for 14 months with no exit fees.","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","12","2025-04-01T00:00:00+01:00","NA","list(href = ""https://api.octopus.energy/v1/products/CP-12M-25-04-01/"", method = ""GET"", rel = ""self"")","COOP_ENERGY"
"FLUX-EXPORT-23-02-14","EXPORT","Octopus Flux Export","Octopus Flux Export","Octopus Flux Export February 2023 v1","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","NA","2023-02-14T00:00:00Z","NA","list(href = ""https://api.octopus.energy/v1/products/FLUX-EXPORT-23-02-14/"", method = ""GET"", rel = ""self"")","OCTOPUS_ENERGY"
"FLUX-EXPORT-BB-23-02-14","EXPORT","Octopus Flux Export","Octopus Flux Export","Octopus Flux Export February 2023 v2","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","NA","2023-02-14T00:00:00Z","NA","list(href = ""https://api.octopus.energy/v1/products/FLUX-EXPORT-BB-23-02-14/"", method = ""GET"", rel = ""self"")","BULB"
"FLUX-IMPORT-23-02-14","IMPORT","Octopus Flux Import","Octopus Flux Import","Power your home with 100% renewable energy on this Octopus Energy electricity tariff designed exclusively for solar and battery owners.","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","NA","2023-02-14T00:00:00Z","NA","list(href = ""https://api.octopus.energy/v1/products/FLUX-IMPORT-23-02-14/"", method = ""GET"", rel = ""self"")","OCTOPUS_ENERGY"
"FLUX-IMPORT-BB-23-02-14","IMPORT","Octopus Flux Import","Octopus Flux Import","Power your home with 100% renewable energy on this Octopus Energy electricity tariff designed exclusively for solar and battery owners.","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","NA","2023-02-14T00:00:00Z","NA","list(href = ""https://api.octopus.energy/v1/products/FLUX-IMPORT-BB-23-02-14/"", method = ""GET"", rel = ""self"")","BULB"
"GO-VAR-22-10-14","IMPORT","Octopus Go","Octopus Go","The smart EV tariff with super cheap electricity between 00:30 - 05:30 every night","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","NA","2022-10-14T00:00:00+01:00","NA","list(href = ""https://api.octopus.energy/v1/products/GO-VAR-22-10-14/"", method = ""GET"", rel = ""self"")","OCTOPUS_ENERGY"
"GO-VAR-BB-23-02-07","IMPORT","Octopus Go","Octopus Go","The smart EV tariff with super cheap electricity between 00:30 - 05:30 every night","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","NA","2023-02-07T00:00:00Z","NA","list(href = ""https://api.octopus.energy/v1/products/GO-VAR-BB-23-02-07/"", method = ""GET"", rel = ""self"")","BULB"
"INTELLI-FLUX-EXPORT-23-07-14","EXPORT","Intelligent Octopus Flux Export","Intelligent Octopus Flux Export","Intelligent Octopus Flux Export v1","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","NA","2023-07-13T00:00:00+01:00","NA","list(href = ""https://api.octopus.energy/v1/products/INTELLI-FLUX-EXPORT-23-07-14/"", method = ""GET"", rel = ""self"")","OCTOPUS_ENERGY"
"INTELLI-FLUX-EXPORT-BB-23-07-14","EXPORT","Intelligent Octopus Flux Export","Intelligent Octopus Flux Export","Intelligent Octopus Flux Export v1","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","NA","2023-07-13T00:00:00+01:00","NA","list(href = ""https://api.octopus.energy/v1/products/INTELLI-FLUX-EXPORT-BB-23-07-14/"", method = ""GET"", rel = ""self"")","BULB"
"INTELLI-FLUX-IMPORT-23-07-14","IMPORT","Intelligent Octopus Flux Import","Intelligent Octopus Flux Import","Power your home with 100% renewable energy on this Octopus Energy electricity tariff designed exclusively for solar and battery owners.","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","NA","2023-07-13T00:00:00+01:00","NA","list(href = ""https://api.octopus.energy/v1/products/INTELLI-FLUX-IMPORT-23-07-14/"", method = ""GET"", rel = ""self"")","OCTOPUS_ENERGY"
"INTELLI-FLUX-IMPORT-BB-23-07-14","IMPORT","Intelligent Octopus Flux Import","Intelligent Octopus Flux Import","Power your home with 100% renewable energy on this Octopus Energy electricity tariff designed exclusively for solar and battery owners.","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","NA","2023-07-13T00:00:00+01:00","NA","list(href = ""https://api.octopus.energy/v1/products/INTELLI-FLUX-IMPORT-BB-23-07-14/"", method = ""GET"", rel = ""self"")","BULB"
"INTELLI-VAR-24-10-29","IMPORT","Intelligent Octopus Go","Intelligent Octopus Go","With Intelligent Octopus Go EV tariff, you have access to a super low electricity rate between 23:30 - 05:30 every night, plus it smart-charges your car at the cheapest and greenest times overnight.","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","NA","2024-10-29T00:00:00Z","NA","list(href = ""https://api.octopus.energy/v1/products/INTELLI-VAR-24-10-29/"", method = ""GET"", rel = ""self"")","OCTOPUS_ENERGY"
"INTELLI-VAR-BB-24-10-29","IMPORT","Intelligent Octopus Go","Intelligent Octopus Go","With Intelligent Octopus Go EV tariff, you have access to a super low electricity rate between 23:30 - 05:30 every night, plus it smart-charges your car at the cheapest and greenest times overnight.","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","NA","2024-10-29T00:00:00Z","NA","list(href = ""https://api.octopus.energy/v1/products/INTELLI-VAR-BB-24-10-29/"", method = ""GET"", rel = ""self"")","BULB"
"INTELLI-VAR-OEV-24-07-17","IMPORT","Intelligent Octopus Go - EV Saver","Intelligent Octopus Go - EV Saver","With our OEV exclusive Intelligent Octopus Go EV Saver tariff, you have access to a super low electricity rate between 23:30 - 05:30 every night, plus it smart-charges your car at the cheapest and greenest times overnight.","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","NA","2024-07-17T00:00:00+01:00","NA","list(href = ""https://api.octopus.energy/v1/products/INTELLI-VAR-OEV-24-07-17/"", method = ""GET"", rel = ""self"")","OCTOPUS_ENERGY"
"INTELLI-VAR-OEV-BB-24-07-17","IMPORT","Intelligent Octopus Go - EV Saver","Intelligent Octopus Go - EV Saver","With our OEV exclusive Intelligent Octopus Go EV Saver tariff, you have access to a super low electricity rate between 23:30 - 05:30 every night, plus it smart-charges your car at the cheapest and greenest times overnight.","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","NA","2024-07-17T00:00:00+01:00","NA","list(href = ""https://api.octopus.energy/v1/products/INTELLI-VAR-OEV-BB-24-07-17/"", method = ""GET"", rel = ""self"")","BULB"
"LP-SEG-EO-FIX-12M-24-04-05","EXPORT","my london smart export guarantee export only april 2024 v1","my london smart export only guarantee","This is our Smart Export Guarantee compliant export tariff for export only accounts","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","12","2024-04-05T00:00:00+01:00","NA","list(href = ""https://api.octopus.energy/v1/products/LP-SEG-EO-FIX-12M-24-04-05/"", method = ""GET"", rel = ""self"")","LONDON_POWER"
"LP-SEG-FIX-12M-20-11-11","EXPORT","my london smart export guarantee november 2020 v1","my london smart export guarantee","This is our Smart Export Guarantee compliant export tariff","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","12","2020-11-11T17:00:00Z","NA","list(href = ""https://api.octopus.energy/v1/products/LP-SEG-FIX-12M-20-11-11/"", method = ""GET"", rel = ""self"")","LONDON_POWER"
"LP-VAR-23-04-01","IMPORT","my london flexible plan","my london flexible plan","my london flexible plan prices follow wholesale costs and update every 3 months.","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","NA","2023-04-01T00:00:00+01:00","NA","list(href = ""https://api.octopus.energy/v1/products/LP-VAR-23-04-01/"", method = ""GET"", rel = ""self"")","LONDON_POWER"
"OE-FIX-12M-25-04-01","IMPORT","Octopus 12M Fixed April 2025 v1","Octopus 12M Fixed","This fixed tariff locks in your unit rates and standing charges for 12 months with no exit fees.","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","12","2025-04-01T00:00:00+01:00","NA","list(href = ""https://api.octopus.energy/v1/products/OE-FIX-12M-25-04-01/"", method = ""GET"", rel = ""self"")","OCTOPUS_ENERGY"
"OE-FIX-12M-BB-25-04-01","IMPORT","Octopus 12M Fixed April 2025 v1","Octopus 12M Fixed","This fixed tariff locks in your unit rates and standing charges for 12 months with no exit fees.","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","12","2025-04-01T00:00:00+01:00","NA","list(href = ""https://api.octopus.energy/v1/products/OE-FIX-12M-BB-25-04-01/"", method = ""GET"", rel = ""self"")","BULB"
"OE-LOYAL-FIX-12M-25-04-01","IMPORT","Loyal Octopus 12M Fixed April 2025 v1","Loyal Octopus 12M Fixed","For existing Octopus customers only. This fixed tariff locks in your unit rates and standing charges for 12 months with no exit fees.","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","12","2025-04-01T00:00:00+01:00","NA","list(href = ""https://api.octopus.energy/v1/products/OE-LOYAL-FIX-12M-25-04-01/"", method = ""GET"", rel = ""self"")","OCTOPUS_ENERGY"
"OE-LOYAL-FIX-12M-BB-25-04-01","IMPORT","Loyal Octopus 12M Fixed April 2025 v1","Loyal Octopus 12M Fixed","For existing Octopus customers only. This fixed tariff locks in your unit rates and standing charges for 12 months with no exit fees.","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","12","2025-04-01T00:00:00+01:00","NA","list(href = ""https://api.octopus.energy/v1/products/OE-LOYAL-FIX-12M-BB-25-04-01/"", method = ""GET"", rel = ""self"")","BULB"
"OUTGOING-SEG-EO-FIX-12M-24-04-05","EXPORT","Octopus Outgoing Smart Export Guarantee Export Only April 2024 v1","Octopus Outgoing Smart Export Guarantee Export Only","Outgoing SEG is our Smart Export Guarantee compliant export tariff for our export only accounts","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","12","2024-04-05T00:00:00+01:00","NA","list(href = ""https://api.octopus.energy/v1/products/OUTGOING-SEG-EO-FIX-12M-24-04-05/"", method = ""GET"", rel = ""self"")","OCTOPUS_ENERGY"
"OUTGOING-SEG-EO-FIX-12M-BB-24-04-05","EXPORT","Octopus Outgoing Smart Export Guarantee Export Only April 2024 v1","Octopus Outgoing Smart Export Guarantee Export Only","Outgoing SEG is our Smart Export Guarantee compliant export tariff for our export only accounts","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","12","2024-04-05T00:00:00+01:00","NA","list(href = ""https://api.octopus.energy/v1/products/OUTGOING-SEG-EO-FIX-12M-BB-24-04-05/"", method = ""GET"", rel = ""self"")","BULB"
"OUTGOING-SEG-FIX-12M-20-07-07","EXPORT","Octopus Outgoing Smart Export Guarantee July 2020 v1","Octopus Outgoing Smart Export Guarantee","Outgoing SEG is our Smart Export Guarantee compliant export tariff","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","12","2020-07-14T00:00:00+01:00","NA","list(href = ""https://api.octopus.energy/v1/products/OUTGOING-SEG-FIX-12M-20-07-07/"", method = ""GET"", rel = ""self"")","OCTOPUS_ENERGY"
"OUTGOING-SEG-FIX-12M-BB-23-02-09","EXPORT","Octopus Outgoing Smart Export Guarantee February 2023 v1","Octopus Outgoing Smart Export Guarantee","Outgoing SEG is our Smart Export Guarantee compliant export tariff","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","12","2023-02-09T00:00:00Z","NA","list(href = ""https://api.octopus.energy/v1/products/OUTGOING-SEG-FIX-12M-BB-23-02-09/"", method = ""GET"", rel = ""self"")","BULB"
"OUTGOING-VAR-24-10-26","EXPORT","Outgoing Octopus","Outgoing Octopus","Outgoing Octopus pays you for all exported energy at a flat rate.","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","NA","2024-10-28T00:00:00Z","NA","list(href = ""https://api.octopus.energy/v1/products/OUTGOING-VAR-24-10-26/"", method = ""GET"", rel = ""self"")","OCTOPUS_ENERGY"
"OUTGOING-VAR-BB-24-10-26","EXPORT","Outgoing Octopus","Outgoing Octopus","Outgoing Octopus pays you for all exported energy at a flat rate.","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","NA","2024-10-28T00:00:00Z","NA","list(href = ""https://api.octopus.energy/v1/products/OUTGOING-VAR-BB-24-10-26/"", method = ""GET"", rel = ""self"")","BULB"
"POWER-PACK-24-02-15","EXPORT","Octopus Power Pack","Octopus Power Pack","Octopus Power Pack","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","NA","2024-02-15T11:00:00Z","NA","list(href = ""https://api.octopus.energy/v1/products/POWER-PACK-24-02-15/"", method = ""GET"", rel = ""self"")","OCTOPUS_ENERGY"
"PREPAY-VAR-18-09-21","IMPORT","Octopus Key and Card","Octopus Key and Card","Non-smart prepayment tariff","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","NA","2018-10-10T00:00:00+01:00","NA","list(href = ""https://api.octopus.energy/v1/products/PREPAY-VAR-18-09-21/"", method = ""GET"", rel = ""self"")","OCTOPUS_ENERGY"
"PREPAY-VAR-BB-23-04-01","IMPORT","Octopus Key and Card","Octopus Key and Card","Non-smart prepayment tariff","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","NA","2023-04-01T00:00:00+01:00","NA","list(href = ""https://api.octopus.energy/v1/products/PREPAY-VAR-BB-23-04-01/"", method = ""GET"", rel = ""self"")","BULB"
"SMART-PREPAY-VAR-22-10-22","IMPORT","Flexible Octopus Smart Pay as You Go","Flexible Octopus Smart Pay as You Go","Smart prepayment tariff","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","NA","2022-10-22T00:00:00+01:00","NA","list(href = ""https://api.octopus.energy/v1/products/SMART-PREPAY-VAR-22-10-22/"", method = ""GET"", rel = ""self"")","OCTOPUS_ENERGY"
"SNUG-24-11-07","IMPORT","Snug Octopus","Snug Octopus","Snug Octopus is a smart tariff for storage heaters that schedules charging at the cheapest, greenest times overnight and boosts heating in the afternoon to keep homes cosy.","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","NA","2024-11-07T00:00:00Z","NA","list(href = ""https://api.octopus.energy/v1/products/SNUG-24-11-07/"", method = ""GET"", rel = ""self"")","OCTOPUS_ENERGY"
"VAR-22-11-01","IMPORT","Flexible Octopus","Flexible Octopus","Flexible Octopus prices follow wholesale costs and update every 3 months. Prices are expected to rise in April.","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","NA","2023-03-28T10:35:00+01:00","NA","list(href = ""https://api.octopus.energy/v1/products/VAR-22-11-01/"", method = ""GET"", rel = ""self"")","OCTOPUS_ENERGY"
"VAR-BB-23-04-01","IMPORT","Flexible Octopus","Flexible Octopus","Flexible Octopus prices follow wholesale costs and update every 3 months. Prices are expected to rise in April.","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","NA","2023-04-01T00:00:00+01:00","NA","list(href = ""https://api.octopus.energy/v1/products/VAR-BB-23-04-01/"", method = ""GET"", rel = ""self"")","BULB"
"ZERO-EXPORT-60M-22-05-01","EXPORT","Octopus Zero Bills Export (5 years)","Octopus Zero Export","Octopus ZERO Export Tariff - For registered Octopus ZERO homes ONLY.  Fair use allowance: 10MWh of net electricity import per year","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","60","2022-05-01T00:00:00+01:00","NA","list(href = ""https://api.octopus.energy/v1/products/ZERO-EXPORT-60M-22-05-01/"", method = ""GET"", rel = ""self"")","OCTOPUS_ENERGY"
